Attributes,Relationships
Harry Potter->Ron Weasley->Hermione Granger->Seamus Finnigan->Hogwarts,schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Ron Weasley->Hermione Granger->Seamus Finnigan->Gryffindor,schoolmate->schoolmate->schoolmate->house
Harry Potter->Ron Weasley->Hermione Granger->Seamus Finnigan->Gryffindor->Hogwarts,schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Ron Weasley->Hermione Granger->Neville Longbottom,schoolmate->schoolmate->schoolmate
Harry Potter->Ron Weasley->Hermione Granger->Neville Longbottom->Hogwarts,schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Ron Weasley->Hermione Granger->Neville Longbottom->Gryffindor,schoolmate->schoolmate->schoolmate->house
Harry Potter->Ron Weasley->Hermione Granger->Neville Longbottom->Gryffindor->Hogwarts,schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Ron Weasley->Hermione Granger->Draco Malfoy,schoolmate->schoolmate->schoolmate
Harry Potter->Ron Weasley->Hermione Granger->Draco Malfoy->Hogwarts,schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Ron Weasley->Hermione Granger->Draco Malfoy->Slytherin,schoolmate->schoolmate->schoolmate->house
Harry Potter->Ron Weasley->Hermione Granger->Draco Malfoy->Slytherin->Hogwarts,schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Ron Weasley->Hermione Granger->Cho Chang,schoolmate->schoolmate->schoolmate
Harry Potter->Ron Weasley->Hermione Granger->Padma Patil,schoolmate->schoolmate->schoolmate
Harry Potter->Ron Weasley->Hermione Granger->Padma Patil->Hogwarts,schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Ron Weasley->Hermione Granger->Padma Patil->Gryffindor,schoolmate->schoolmate->schoolmate->house
Harry Potter->Ron Weasley->Hermione Granger->Padma Patil->Gryffindor->Hogwarts,schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Ron Weasley->Hermione Granger->Padma Patil->Ravenclaw,schoolmate->schoolmate->schoolmate->house
Harry Potter->Ron Weasley->Hermione Granger->Padma Patil->Ravenclaw->Hogwarts,schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Ron Weasley->Hermione Granger->Padma Patil->Parvati Patil,schoolmate->schoolmate->schoolmate->schoolmate
Harry Potter->Ron Weasley->Hermione Granger->Padma Patil->Parvati Patil->Gryffindor,schoolmate->schoolmate->schoolmate->schoolmate->house
Harry Potter->Ron Weasley->Hermione Granger->Padma Patil->Parvati Patil->Gryffindor->Hogwarts,schoolmate->schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Ron Weasley->Hermione Granger->Luna Lovegood,schoolmate->schoolmate->schoolmate
Harry Potter->Ron Weasley->Hermione Granger->Luna Lovegood->Hogwarts,schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Ron Weasley->Hermione Granger->Gryffindor,schoolmate->schoolmate->house
Harry Potter->Ron Weasley->Hermione Granger->Gryffindor->Hogwarts,schoolmate->schoolmate->house->belongs to
Harry Potter->Hermione Granger->Ron Weasley->Gryffindor,schoolmate->schoolmate->house
Harry Potter->Hermione Granger->Ron Weasley->Gryffindor->Hogwarts,schoolmate->schoolmate->house->belongs to
Harry Potter->Hermione Granger->Ginny Weasley,schoolmate->schoolmate
Harry Potter->Hermione Granger->Ginny Weasley->Hogwarts,schoolmate->schoolmate->studied at
Harry Potter->Hermione Granger->Ginny Weasley->Gryffindor,schoolmate->schoolmate->house
Harry Potter->Hermione Granger->Ginny Weasley->Gryffindor->Hogwarts,schoolmate->schoolmate->house->belongs to
Harry Potter->Hermione Granger->Seamus Finnigan,schoolmate->schoolmate
Harry Potter->Hermione Granger->Seamus Finnigan->Hogwarts,schoolmate->schoolmate->studied at
Harry Potter->Hermione Granger->Seamus Finnigan->Gryffindor,schoolmate->schoolmate->house
Harry Potter->Hermione Granger->Seamus Finnigan->Gryffindor->Hogwarts,schoolmate->schoolmate->house->belongs to
Harry Potter->Hermione Granger->Neville Longbottom,schoolmate->schoolmate
Harry Potter->Hermione Granger->Neville Longbottom->Hogwarts,schoolmate->schoolmate->studied at
Harry Potter->Hermione Granger->Neville Longbottom->Gryffindor,schoolmate->schoolmate->house
Harry Potter->Hermione Granger->Neville Longbottom->Gryffindor->Hogwarts,schoolmate->schoolmate->house->belongs to
Harry Potter->Hermione Granger->Draco Malfoy,schoolmate->schoolmate
Harry Potter->Hermione Granger->Draco Malfoy->Hogwarts,schoolmate->schoolmate->studied at
Harry Potter->Hermione Granger->Draco Malfoy->Slytherin,schoolmate->schoolmate->house
Harry Potter->Hermione Granger->Draco Malfoy->Slytherin->Hogwarts,schoolmate->schoolmate->house->belongs to
Harry Potter->Hermione Granger->Cho Chang,schoolmate->schoolmate
Harry Potter->Hermione Granger->Padma Patil,schoolmate->schoolmate
Harry Potter->Hermione Granger->Padma Patil->Hogwarts,schoolmate->schoolmate->studied at
Harry Potter->Hermione Granger->Padma Patil->Gryffindor,schoolmate->schoolmate->house
Harry Potter->Hermione Granger->Padma Patil->Gryffindor->Hogwarts,schoolmate->schoolmate->house->belongs to
Harry Potter->Hermione Granger->Padma Patil->Ravenclaw,schoolmate->schoolmate->house
Harry Potter->Hermione Granger->Padma Patil->Ravenclaw->Hogwarts,schoolmate->schoolmate->house->belongs to
Harry Potter->Hermione Granger->Padma Patil->Parvati Patil,schoolmate->schoolmate->schoolmate
Harry Potter->Hermione Granger->Padma Patil->Parvati Patil->Gryffindor,schoolmate->schoolmate->schoolmate->house
Harry Potter->Hermione Granger->Padma Patil->Parvati Patil->Gryffindor->Hogwarts,schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Hermione Granger->Luna Lovegood,schoolmate->schoolmate
Harry Potter->Hermione Granger->Luna Lovegood->Hogwarts,schoolmate->schoolmate->studied at
Harry Potter->Hermione Granger->Gryffindor,schoolmate->house
Harry Potter->Hermione Granger->Gryffindor->Hogwarts,schoolmate->house->belongs to
Harry Potter->Ginny Weasley->Gryffindor,schoolmate->house
Harry Potter->Ginny Weasley->Gryffindor->Hogwarts,schoolmate->house->belongs to
Harry Potter->Seamus Finnigan->Gryffindor->Hogwarts,schoolmate->house->belongs to
Harry Potter->Dean Thomas->Gryffindor->Hogwarts,schoolmate->house->belongs to
Harry Potter->Dean Thomas->Ron Weasley,schoolmate->schoolmate
Harry Potter->Dean Thomas->Ron Weasley->Hogwarts,schoolmate->schoolmate->studied at
Harry Potter->Dean Thomas->Ron Weasley->Gryffindor,schoolmate->schoolmate->house
Harry Potter->Dean Thomas->Ron Weasley->Gryffindor->Hogwarts,schoolmate->schoolmate->house->belongs to
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger,schoolmate->schoolmate->schoolmate
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Hogwarts,schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Ginny Weasley,schoolmate->schoolmate->schoolmate->schoolmate
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Ginny Weasley->Hogwarts,schoolmate->schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Ginny Weasley->Gryffindor,schoolmate->schoolmate->schoolmate->schoolmate->house
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Ginny Weasley->Gryffindor->Hogwarts,schoolmate->schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Seamus Finnigan,schoolmate->schoolmate->schoolmate->schoolmate
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Seamus Finnigan->Hogwarts,schoolmate->schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Seamus Finnigan->Gryffindor,schoolmate->schoolmate->schoolmate->schoolmate->house
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Seamus Finnigan->Gryffindor->Hogwarts,schoolmate->schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Neville Longbottom,schoolmate->schoolmate->schoolmate->schoolmate
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Neville Longbottom->Hogwarts,schoolmate->schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Neville Longbottom->Gryffindor,schoolmate->schoolmate->schoolmate->schoolmate->house
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Neville Longbottom->Gryffindor->Hogwarts,schoolmate->schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Draco Malfoy,schoolmate->schoolmate->schoolmate->schoolmate
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Draco Malfoy->Hogwarts,schoolmate->schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Draco Malfoy->Slytherin,schoolmate->schoolmate->schoolmate->schoolmate->house
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Draco Malfoy->Slytherin->Hogwarts,schoolmate->schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Cho Chang,schoolmate->schoolmate->schoolmate->schoolmate
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Padma Patil,schoolmate->schoolmate->schoolmate->schoolmate
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Padma Patil->Hogwarts,schoolmate->schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Padma Patil->Gryffindor,schoolmate->schoolmate->schoolmate->schoolmate->house
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Padma Patil->Gryffindor->Hogwarts,schoolmate->schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Padma Patil->Ravenclaw,schoolmate->schoolmate->schoolmate->schoolmate->house
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Padma Patil->Ravenclaw->Hogwarts,schoolmate->schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Padma Patil->Parvati Patil,schoolmate->schoolmate->schoolmate->schoolmate->schoolmate
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Padma Patil->Parvati Patil->Gryffindor,schoolmate->schoolmate->schoolmate->schoolmate->schoolmate->house
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Padma Patil->Parvati Patil->Gryffindor->Hogwarts,schoolmate->schoolmate->schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Luna Lovegood,schoolmate->schoolmate->schoolmate->schoolmate
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Luna Lovegood->Hogwarts,schoolmate->schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Gryffindor,schoolmate->schoolmate->schoolmate->house
Harry Potter->Dean Thomas->Ron Weasley->Hermione Granger->Gryffindor->Hogwarts,schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Dean Thomas->Hermione Granger,schoolmate->schoolmate
Harry Potter->Dean Thomas->Hermione Granger->Hogwarts,schoolmate->schoolmate->studied at
Harry Potter->Dean Thomas->Hermione Granger->Ron Weasley,schoolmate->schoolmate->schoolmate
Harry Potter->Dean Thomas->Hermione Granger->Ron Weasley->Hogwarts,schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Dean Thomas->Hermione Granger->Ron Weasley->Gryffindor,schoolmate->schoolmate->schoolmate->house
Harry Potter->Dean Thomas->Hermione Granger->Ron Weasley->Gryffindor->Hogwarts,schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Dean Thomas->Hermione Granger->Ginny Weasley,schoolmate->schoolmate->schoolmate
Harry Potter->Dean Thomas->Hermione Granger->Ginny Weasley->Hogwarts,schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Dean Thomas->Hermione Granger->Ginny Weasley->Gryffindor,schoolmate->schoolmate->schoolmate->house
Harry Potter->Dean Thomas->Hermione Granger->Ginny Weasley->Gryffindor->Hogwarts,schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Dean Thomas->Hermione Granger->Seamus Finnigan,schoolmate->schoolmate->schoolmate
Harry Potter->Dean Thomas->Hermione Granger->Seamus Finnigan->Hogwarts,schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Dean Thomas->Hermione Granger->Seamus Finnigan->Gryffindor,schoolmate->schoolmate->schoolmate->house
Harry Potter->Dean Thomas->Hermione Granger->Seamus Finnigan->Gryffindor->Hogwarts,schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Dean Thomas->Hermione Granger->Neville Longbottom,schoolmate->schoolmate->schoolmate
Harry Potter->Dean Thomas->Hermione Granger->Neville Longbottom->Hogwarts,schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Dean Thomas->Hermione Granger->Neville Longbottom->Gryffindor,schoolmate->schoolmate->schoolmate->house
Harry Potter->Dean Thomas->Hermione Granger->Neville Longbottom->Gryffindor->Hogwarts,schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Dean Thomas->Hermione Granger->Draco Malfoy,schoolmate->schoolmate->schoolmate
Harry Potter->Dean Thomas->Hermione Granger->Draco Malfoy->Hogwarts,schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Dean Thomas->Hermione Granger->Draco Malfoy->Slytherin,schoolmate->schoolmate->schoolmate->house
Harry Potter->Dean Thomas->Hermione Granger->Draco Malfoy->Slytherin->Hogwarts,schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Dean Thomas->Hermione Granger->Cho Chang,schoolmate->schoolmate->schoolmate
Harry Potter->Dean Thomas->Hermione Granger->Padma Patil,schoolmate->schoolmate->schoolmate
Harry Potter->Dean Thomas->Hermione Granger->Padma Patil->Hogwarts,schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Dean Thomas->Hermione Granger->Padma Patil->Gryffindor,schoolmate->schoolmate->schoolmate->house
Harry Potter->Dean Thomas->Hermione Granger->Padma Patil->Gryffindor->Hogwarts,schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Dean Thomas->Hermione Granger->Padma Patil->Ravenclaw,schoolmate->schoolmate->schoolmate->house
Harry Potter->Dean Thomas->Hermione Granger->Padma Patil->Ravenclaw->Hogwarts,schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Dean Thomas->Hermione Granger->Padma Patil->Parvati Patil,schoolmate->schoolmate->schoolmate->schoolmate
Harry Potter->Dean Thomas->Hermione Granger->Padma Patil->Parvati Patil->Gryffindor,schoolmate->schoolmate->schoolmate->schoolmate->house
Harry Potter->Dean Thomas->Hermione Granger->Padma Patil->Parvati Patil->Gryffindor->Hogwarts,schoolmate->schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Dean Thomas->Hermione Granger->Luna Lovegood,schoolmate->schoolmate->schoolmate
Harry Potter->Dean Thomas->Hermione Granger->Luna Lovegood->Hogwarts,schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Dean Thomas->Hermione Granger->Gryffindor,schoolmate->schoolmate->house
Harry Potter->Dean Thomas->Hermione Granger->Gryffindor->Hogwarts,schoolmate->schoolmate->house->belongs to
Harry Potter->Neville Longbottom->Gryffindor->Hogwarts,schoolmate->house->belongs to
Harry Potter->Draco Malfoy->Slytherin,schoolmate->house
Harry Potter->Draco Malfoy->Slytherin->Hogwarts,schoolmate->house->belongs to
Harry Potter->Pansy Parkinson->Slytherin->Hogwarts,schoolmate->house->belongs to
Harry Potter->Pansy Parkinson->Draco Malfoy,schoolmate->schoolmate
Harry Potter->Pansy Parkinson->Draco Malfoy->Hogwarts,schoolmate->schoolmate->studied at
Harry Potter->Pansy Parkinson->Draco Malfoy->Slytherin,schoolmate->schoolmate->house
Harry Potter->Pansy Parkinson->Draco Malfoy->Slytherin->Hogwarts,schoolmate->schoolmate->house->belongs to
Harry Potter->Cedric Diggory->Gryffindor->Hogwarts,schoolmate->house->belongs to
Harry Potter->Fred Weasley->Gryffindor,schoolmate->house
Harry Potter->Fred Weasley->Gryffindor->Hogwarts,schoolmate->house->belongs to
Harry Potter->George Weasley->Gryffindor,schoolmate->house
Harry Potter->George Weasley->Gryffindor->Hogwarts,schoolmate->house->belongs to
Harry Potter->George Weasley->Gryffindor house,schoolmate->house
Harry Potter->Padma Patil->Gryffindor->Hogwarts,schoolmate->house->belongs to
Harry Potter->Padma Patil->Ravenclaw,schoolmate->house
Harry Potter->Padma Patil->Ravenclaw->Hogwarts,schoolmate->house->belongs to
Harry Potter->Padma Patil->Parvati Patil,schoolmate->schoolmate
Harry Potter->Padma Patil->Parvati Patil->Gryffindor,schoolmate->schoolmate->house
Harry Potter->Padma Patil->Parvati Patil->Gryffindor->Hogwarts,schoolmate->schoolmate->house->belongs to
Harry Potter->Susan Bones->Gryffindor,schoolmate->house
Harry Potter->Susan Bones->Gryffindor->Hogwarts,schoolmate->house->belongs to
Harry Potter->Zacharias Smith->Hufflepuff->Hogwarts,schoolmate->house->belongs to
Harry Potter->Zacharias Smith->Cedric Diggory,schoolmate->schoolmate
Harry Potter->Zacharias Smith->Cedric Diggory->Hogwarts,schoolmate->schoolmate->studied at
Harry Potter->Zacharias Smith->Cedric Diggory->Gryffindor,schoolmate->schoolmate->house
Harry Potter->Zacharias Smith->Cedric Diggory->Gryffindor->Hogwarts,schoolmate->schoolmate->house->belongs to
Harry Potter->Gryffindor->Hogwarts,house->belongs to
Ron Weasley->Gryffindor->Hogwarts,house->belongs to
Ron Weasley->Hermione Granger->Hogwarts,schoolmate->studied at
Ron Weasley->Hermione Granger->Ginny Weasley,schoolmate->schoolmate
Ron Weasley->Hermione Granger->Ginny Weasley->Hogwarts,schoolmate->schoolmate->studied at
Ron Weasley->Hermione Granger->Ginny Weasley->Gryffindor,schoolmate->schoolmate->house
Ron Weasley->Hermione Granger->Ginny Weasley->Gryffindor->Hogwarts,schoolmate->schoolmate->house->belongs to
Ron Weasley->Hermione Granger->Seamus Finnigan,schoolmate->schoolmate
Ron Weasley->Hermione Granger->Seamus Finnigan->Hogwarts,schoolmate->schoolmate->studied at
Ron Weasley->Hermione Granger->Seamus Finnigan->Gryffindor,schoolmate->schoolmate->house
Ron Weasley->Hermione Granger->Seamus Finnigan->Gryffindor->Hogwarts,schoolmate->schoolmate->house->belongs to
Ron Weasley->Hermione Granger->Neville Longbottom,schoolmate->schoolmate
Ron Weasley->Hermione Granger->Neville Longbottom->Hogwarts,schoolmate->schoolmate->studied at
Ron Weasley->Hermione Granger->Neville Longbottom->Gryffindor,schoolmate->schoolmate->house
Ron Weasley->Hermione Granger->Neville Longbottom->Gryffindor->Hogwarts,schoolmate->schoolmate->house->belongs to
Ron Weasley->Hermione Granger->Draco Malfoy,schoolmate->schoolmate
Ron Weasley->Hermione Granger->Draco Malfoy->Hogwarts,schoolmate->schoolmate->studied at
Ron Weasley->Hermione Granger->Draco Malfoy->Slytherin,schoolmate->schoolmate->house
Ron Weasley->Hermione Granger->Draco Malfoy->Slytherin->Hogwarts,schoolmate->schoolmate->house->belongs to
Ron Weasley->Hermione Granger->Cho Chang,schoolmate->schoolmate
Ron Weasley->Hermione Granger->Padma Patil,schoolmate->schoolmate
Ron Weasley->Hermione Granger->Padma Patil->Hogwarts,schoolmate->schoolmate->studied at
Ron Weasley->Hermione Granger->Padma Patil->Gryffindor,schoolmate->schoolmate->house
Ron Weasley->Hermione Granger->Padma Patil->Gryffindor->Hogwarts,schoolmate->schoolmate->house->belongs to
Ron Weasley->Hermione Granger->Padma Patil->Ravenclaw,schoolmate->schoolmate->house
Ron Weasley->Hermione Granger->Padma Patil->Ravenclaw->Hogwarts,schoolmate->schoolmate->house->belongs to
Ron Weasley->Hermione Granger->Padma Patil->Parvati Patil,schoolmate->schoolmate->schoolmate
Ron Weasley->Hermione Granger->Padma Patil->Parvati Patil->Gryffindor,schoolmate->schoolmate->schoolmate->house
Ron Weasley->Hermione Granger->Padma Patil->Parvati Patil->Gryffindor->Hogwarts,schoolmate->schoolmate->schoolmate->house->belongs to
Ron Weasley->Hermione Granger->Luna Lovegood,schoolmate->schoolmate
Ron Weasley->Hermione Granger->Luna Lovegood->Hogwarts,schoolmate->schoolmate->studied at
Ron Weasley->Hermione Granger->Gryffindor,schoolmate->house
Ron Weasley->Hermione Granger->Gryffindor->Hogwarts,schoolmate->house->belongs to
Hermione Granger->Ron Weasley->Gryffindor,schoolmate->house
Hermione Granger->Ron Weasley->Gryffindor->Hogwarts,schoolmate->house->belongs to
Hermione Granger->Ginny Weasley->Hogwarts,schoolmate->studied at
Hermione Granger->Ginny Weasley->Gryffindor,schoolmate->house
Hermione Granger->Ginny Weasley->Gryffindor->Hogwarts,schoolmate->house->belongs to
Hermione Granger->Seamus Finnigan->Hogwarts,schoolmate->studied at
Hermione Granger->Seamus Finnigan->Gryffindor,schoolmate->house
Hermione Granger->Seamus Finnigan->Gryffindor->Hogwarts,schoolmate->house->belongs to
Hermione Granger->Neville Longbottom->Hogwarts,schoolmate->studied at
Hermione Granger->Neville Longbottom->Gryffindor,schoolmate->house
Hermione Granger->Neville Longbottom->Gryffindor->Hogwarts,schoolmate->house->belongs to
Hermione Granger->Draco Malfoy->Hogwarts,schoolmate->studied at
Hermione Granger->Draco Malfoy->Slytherin,schoolmate->house
Hermione Granger->Draco Malfoy->Slytherin->Hogwarts,schoolmate->house->belongs to
Hermione Granger->Padma Patil->Hogwarts,schoolmate->studied at
Hermione Granger->Padma Patil->Gryffindor,schoolmate->house
Hermione Granger->Padma Patil->Gryffindor->Hogwarts,schoolmate->house->belongs to
Hermione Granger->Padma Patil->Ravenclaw,schoolmate->house
Hermione Granger->Padma Patil->Ravenclaw->Hogwarts,schoolmate->house->belongs to
Hermione Granger->Padma Patil->Parvati Patil,schoolmate->schoolmate
Hermione Granger->Padma Patil->Parvati Patil->Gryffindor,schoolmate->schoolmate->house
Hermione Granger->Padma Patil->Parvati Patil->Gryffindor->Hogwarts,schoolmate->schoolmate->house->belongs to
Hermione Granger->Luna Lovegood->Hogwarts,schoolmate->studied at
Hermione Granger->Gryffindor->Hogwarts,house->belongs to
Ginny Weasley->Gryffindor->Hogwarts,house->belongs to
Seamus Finnigan->Gryffindor->Hogwarts,house->belongs to
