beginning_object,ending_object,predicate,statement1,statement2,statement3
Ron Weasley,Hogwarts,studied at,Ron Weasley studied at,Ron Weasley's school is,Ron Weasley went to school at
Ron Weasley,Hermione Granger,schoolmate,Ron Weasley's schoolmates are,Ron Weasley has schoolmates,Ron Weasley is schoolmates with
Ron Weasley,McGonagall,was taught Transfiguration by,Ron Weasley was taught Transfiguration by,Ron Weasley learned Transfiguration from,Ron Weasley's teacher in Transfiguration was
Ron Weasley,Hagrid,was taught Care of Magical Creatures by,Ron Weasley was taught Care of Magical Creatures by,Ron Weasley learned Care of Magical Creatures from,Ron Weasley's teacher in Care of Magical Creatures was
Ron Weasley,Snape,was taught Defense Against the Dark Arts by,Ron Weasley was taught Defense Against the Dark Arts by,Ron Weasley learned Defense Against the Dark Arts from,Ron Weasley's teacher in Defense Against the Dark Arts was
Ron Weasley,Quirrell,was taught Defense Against the Dark Arts by,Ron Weasley was taught Defense Against the Dark Arts by,Ron Weasley learned Defense Against the Dark Arts from,Ron Weasley's teacher in Defense Against the Dark Arts was
Ron Weasley,Lockhart,was taught Defense Against the Dark Arts by,Ron Weasley was taught Defense Against the Dark Arts by,Ron Weasley learned Defense Against the Dark Arts from,Ron Weasley's teacher in Defense Against the Dark Arts was
Ron Weasley,Lupin,was taught Defense Against the Dark Arts by,Ron Weasley was taught Defense Against the Dark Arts by,Ron Weasley learned Defense Against the Dark Arts from,Ron Weasley's teacher in Defense Against the Dark Arts was
Ron Weasley,Moody,was taught Defense Against the Dark Arts by,Ron Weasley was taught Defense Against the Dark Arts by,Ron Weasley learned Defense Against the Dark Arts from,Ron Weasley's teacher in Defense Against the Dark Arts was
Ron Weasley,Umbridge,was taught Defense Against the Dark Arts by,Ron Weasley was taught Defense Against the Dark Arts by,Ron Weasley learned Defense Against the Dark Arts from,Ron Weasley's teacher in Defense Against the Dark Arts was
Seamus Finnigan,Gryffindor,house,Seamus Finnigan's house is,Seamus Finnigan belongs to the house,Seamus Finnigan in the house
Seamus Finnigan,Hogwarts,studied at,Seamus Finnigan studied at,Seamus Finnigan's school is,Seamus Finnigan went to school at
Snape,Slytherin,head of house,Snape is the head of the house of,Snape is the head of,Snape serves as the head of house of
Snape,Hogwarts,teacher at,Snape is a teacher at,Snape teaches in the school,Snape works as a teacher at
Slytherin,Hogwarts,belongs to,Slytherin belongs to,Slytherin is a part of,Slytherin is in
Slytherin,Snape,head,Slytherin's head is,Slytherin's head of house is,Slytherin's head teacher is
Susan Bones,Hogwarts,studied at,Susan Bones studied at,Susan Bones's school is,Susan Bones went to school at
